WORD_CLEAN,WORD_FIXATION_COUNT,WORD_FIXATION_%,WORD_GAZE_DURATION,WORD_FIRST_FIXATION_DURATION,WORD_SECOND_FIXATION_DURATION,WORD_THIRD_FIXATION_DURATION,WORD_TOTAL_READING_TIME,WORD_TOTAL_READING_TIME_%,WORD_SKIP,WORD_SPILLOVER,WORD_RUN_COUNT
dominating,1.5,0.019014286,295.8571429,233.2857143,105.8571429,0,339.1428571,0.0211,0.285714286,61.42857143,1.142857143
done,0.777722278,0.009747969,140.3641359,137.7472527,21.04961705,4.626373626,164.0819181,0.009814153,0.430902431,33.94239094,0.757409257
dont,0.969260469,0.012605198,166.8745916,148.8768934,39.33108108,9.216067716,201.035343,0.012709883,0.486931987,46.37704188,0.854172854
doom,0.538461538,0.005646154,63.84615385,63.84615385,52.30769231,0,116.1538462,0.006261538,0.615384615,84.61538462,0.538461538
door,0.711672474,0.008734803,130.3644465,123.0162155,20.52921469,2.54978558,146.5725677,0.008610239,0.533905119,28.45383275,0.666108282
doors,1,0.012164286,182.0178571,170.6607143,27.53571429,10.94642857,209.1428571,0.012226786,0.303571429,27.35714286,0.892857143
doorway,1.071428571,0.015614286,223.6428571,212.9285714,30.14285714,0,243.0714286,0.017378571,0.285714286,13.78571429,1
dose,0.906593407,0.010949451,162.4436813,149.5013736,22.48076923,9.884615385,181.8667582,0.010399176,0.417582418,10.91620879,0.82967033
doses,0.642857143,0.00815,101.5,101.5,0,0,101.5,0.006221429,0.5,54.35714286,0.642857143
double,1.5,0.015964286,298.1428571,247.9285714,103.2142857,16.14285714,367.2857143,0.018735714,0.642857143,50.85714286,1.214285714
doubly,1.076923077,0.015430769,197.2307692,197.2307692,10.69230769,33.92307692,241.8461538,0.0168,0.461538462,108.0769231,1.076923077
doubt,1.018315018,0.012152625,198.9520757,178.3949939,33.55494505,14.47161172,231.2811355,0.01293956,0.353479853,56.6978022,0.905982906
doubted,1.19047619,0.013711905,184.3095238,176.6904762,36.61904762,10.07142857,231.5952381,0.012540476,0.261904762,27.78571429,1.095238095
doubtfully,1.452380952,0.020392857,239.4761905,198.5238095,77.57142857,18.64285714,297.0714286,0.019840476,0.119047619,74.95238095,1.142857143
down,0.728386072,0.008979068,131.1815173,124.0327684,21.8488018,3.765457434,151.2733351,0.008973719,0.543294055,22.95107904,0.678339733
downright,0.928571429,0.010121429,149.4285714,112.3571429,55.07142857,0,167.4285714,0.008671429,0.357142857,142.1428571,0.714285714
downstairs,1.53021978,0.019099542,230.8205128,186.6483516,78.05586081,27.63919414,310.3278388,0.01916337,0.171245421,47.9459707,1.179487179
drag,0.846153846,0.011038462,144.6153846,135.3076923,44.30769231,0,179.6153846,0.011369231,0.461538462,0,0.769230769
dragged,1,0.01785,224.2142857,199.3571429,47.57142857,0,246.9285714,0.021507143,0.214285714,25.78571429,0.857142857
drama,0.857142857,0.011014286,169.1428571,154.3571429,25.5,0,179.8571429,0.011328571,0.285714286,157.0714286,0.785714286
dramatic,1.285714286,0.0154,263,233.7142857,65.78571429,0,299.5,0.017592857,0.071428571,151.7857143,1.142857143
drank,0.960164835,0.013029258,206.5741758,198.1868132,23.83653846,0,222.0233516,0.01505783,0.263736264,31.92032967,0.884615385
draught,1.142857143,0.014811538,218.6923077,176.9340659,71.68681319,0,248.6208791,0.015724725,0.222527473,24.82967033,0.961538462
draw,0.879120879,0.010554945,179.8571429,173.8663004,5.990842491,0,179.8571429,0.010457326,0.366300366,26.37728938,0.804029304
drawer,0.914835165,0.012196209,171.4703297,158.4967033,27.6467033,5.342307692,191.4857143,0.011992692,0.352197802,47.44615385,0.812087912
drawers,1.087912088,0.014992857,195.3763736,184.8241758,38.86538462,7.826923077,231.5164835,0.014975275,0.260989011,71.01785714,0.976648352
drawing,1.357142857,0.02135,265.4285714,223.1428571,75.57142857,5.857142857,316.8571429,0.024521429,0.214285714,124.0714286,1.071428571
drawn,1.034465534,0.013553696,189.5619381,174.8481518,45.72477522,3.681318681,225.5594406,0.013729371,0.351648352,64.70779221,0.94955045
dreaded,1,0.011728571,138.5,120.9285714,47.78571429,0,168.7142857,0.009107143,0.357142857,132.5,0.928571429
dreadful,1.002197802,0.013404505,164.689011,146.4604396,29.98571429,3.230769231,179.6769231,0.011499231,0.275824176,105.5483516,0.884615385
dream,0.914285714,0.01094,163.4,154.2857143,25.84285714,3.885714286,193.8714286,0.010924286,0.542857143,25.98571429,0.842857143
dreamed,1.571428571,0.018078571,309.2857143,248.7142857,115.7857143,14.71428571,379.2142857,0.021321429,0.142857143,32.92857143,1.285714286
dreaming,1.923076923,0.035207692,238,223.4615385,99.61538462,64.61538462,422.2307692,0.036146154,0.076923077,78.69230769,1.692307692
dreamt,1.142857143,0.013871429,204.6428571,170.4285714,30.85714286,22.28571429,223.5714286,0.011485714,0.285714286,11.85714286,1
dress,0.693877551,0.009023469,120.55573,112.3948195,14.78806907,0,127.1828885,0.008267504,0.509419152,23.87676609,0.641287284
dressed,1.523809524,0.017781502,250.5961538,213.6254579,81.30586081,27.5018315,325.5998168,0.018165201,0.241758242,50.28021978,1.304029304
dresses,1.31043956,0.018740659,208.1510989,164.1620879,66.48076923,25.34615385,255.989011,0.017657143,0.222527473,34.98626374,1.043956044
dressing,0.854395604,0.009900275,152.6703297,140.6346154,22.92032967,0,163.5549451,0.009297802,0.326923077,51.13186813,0.782967033
drew,0.812362637,0.010807775,159.3532967,150.6307692,20.3043956,1.165659341,172.7815934,0.01108272,0.462362637,41.13379121,0.757967033
dried,1.035714286,0.016617857,204.1428571,164.3214286,40.10714286,10.25,214.6785714,0.016910714,0.321428571,16.46428571,0.821428571
drifted,1.197802198,0.014882601,243.492674,205.3260073,55.03296703,7.743589744,268.1025641,0.016344872,0.3003663,84.24175824,0.946886447
drill,1.142857143,0.013928571,191.7142857,143,79.85714286,23.14285714,246,0.014807143,0.5,25.57142857,0.857142857
drinking,1.142857143,0.01405,226.1428571,203.4285714,33.57142857,0,237,0.014071429,0.214285714,11.85714286,1
drive,1.178571429,0.013339286,187.4642857,186.3214286,46.17857143,12.92857143,254.0357143,0.014171429,0.392857143,16.32142857,1.107142857
driven,1.153846154,0.012253846,197.8846154,169.7692308,54.80769231,0,224.5769231,0.011280769,0.423076923,120.8846154,1
driving,1.076923077,0.014221154,208.9175824,203.2252747,31.15659341,6.535714286,240.9175824,0.015608791,0.291208791,45.16758242,1.002747253
drop,0.892857143,0.012083929,161.6785714,158.2142857,22.98214286,5.071428571,186.2678571,0.012183929,0.446428571,35.48214286,0.857142857
dropped,1.042582418,0.013361813,182.2870879,169.0604396,35.44848901,4.723214286,209.2321429,0.013128984,0.370879121,56.71016484,0.95260989
dropping,1.535714286,0.020232143,222.7857143,182.8214286,87.89285714,8.714285714,284.8214286,0.018239286,0.214285714,20.35714286,1.25
drops,0.804029304,0.009974908,158.4358974,158.4358974,17.63186813,2.846153846,178.9139194,0.010261172,0.474358974,26.12820513,0.804029304
drove,1.017857143,0.01296408,185.540522,178.0418956,39.66552198,3.964285714,223.0556319,0.013613255,0.385989011,66.74381868,0.963598901
drown,0.714285714,0.008228571,147.7857143,147.7857143,17.07142857,0,164.8571429,0.009178571,0.5,10.64285714,0.714285714
drug,0.813186813,0.009104396,152.8113553,142.956044,16.57509158,4.56043956,167.014652,0.009012179,0.445054945,52.56410256,0.764652015
drugged,1.230769231,0.014834615,254.8846154,215,47.38461538,4.384615385,279.9615385,0.015776923,0.153846154,204.9615385,1.038461538
drunk,1.026373626,0.013091868,181.4395604,170.3538462,41.52967033,7.114285714,224.9692308,0.013403297,0.418681319,20.33626374,0.969230769
dry,0.785714286,0.011207143,172.2142857,162.4285714,9.785714286,0,172.2142857,0.01125,0.357142857,22.28571429,0.714285714
ducks,0.785714286,0.0084,172.7857143,160.2857143,27.92857143,0,188.2142857,0.00955,0.5,39.28571429,0.714285714
due,0.642857143,0.007585714,133.7857143,126.5,7.285714286,0,133.7857143,0.007857143,0.5,82.28571429,0.571428571
duly,0.923076923,0.011679487,163.3846154,157.3076923,33.94871795,4.717948718,202.4102564,0.012710256,0.487179487,73.07692308,0.897435897
dumb,0.428571429,0.006371429,95.35714286,95.35714286,0,0,95.35714286,0.006414286,0.571428571,20.92857143,0.428571429
dumbfounded,1.428571429,0.017389286,263.8928571,205.6071429,91.28571429,20.14285714,324,0.019692857,0.25,105.8928571,1.035714286
dumfounded,1.785714286,0.016828571,340.2142857,250.9285714,88.28571429,11.42857143,389.5714286,0.018228571,0.214285714,90.64285714,1.142857143
duplicate,1.238095238,0.015359524,236.2142857,215.4285714,40.5,10.07142857,266,0.015695238,0.071428571,45.42857143,1.071428571
during,1.149921507,0.015225353,224.6923077,183.3194662,49.37127159,18.05651491,258.1868132,0.015832339,0.35321821,40.20015699,0.967817896
dust,0.857142857,0.011217857,178.8571429,172.8214286,15.10714286,0,187.9285714,0.011957143,0.357142857,54.89285714,0.821428571
dusted,1.464285714,0.017,293.6785714,223.3928571,72.25,30.14285714,333.8928571,0.0188,0.285714286,46.67857143,1.071428571
dusting,1.142857143,0.012021429,285.3571429,258.8571429,47.14285714,0,306,0.015921429,0.428571429,89,1
dusty,1.326923077,0.013822527,211.9313187,182.0659341,44.38186813,17.67857143,257.3049451,0.013245604,0.335164835,39.76923077,1
duties,1.071428571,0.012478571,209.5,206.3928571,37.57142857,10.96428571,254.9285714,0.014492857,0.285714286,12.28571429,1.035714286
duty,0.813186813,0.009233333,141.9624542,133.9047619,26.12912088,1.214285714,161.2481685,0.008792582,0.482600733,40.89652015,0.762820513
